episode,rewards_total
503,23.805638813
504,23.8056428879
505,23.8056476644
506,23.805648491
507,23.8056425875
508,23.8056392851
509,23.8056331271
510,23.8056397251
511,23.8056303682
512,23.8056431316
513,23.805648069
514,23.8056522602
515,23.8056463895
516,23.8056482605
517,23.8056259295
518,23.8056424231
519,23.8056037281
520,23.8056308419
521,23.8056432995
522,23.8056490505
523,23.8056479056
524,23.8056512828
525,23.8056524731
526,23.8056482015
527,23.8056412496
528,23.8056452134
529,23.8056452187
530,23.8056473847
531,23.8056319378
532,23.8056247333
533,23.8056394491
534,23.805617052
535,23.8056457564
536,23.805651257
537,23.8056385011
538,23.8056576984
539,23.8056359428
540,23.8056462072
541,23.8056518603
542,23.8056315823
543,23.8055957031
544,23.805634541
545,23.8056458001
546,23.8056423367
547,23.8056391958
548,23.8056477507
549,23.8056482394
550,23.8056566334
551,23.8056146669
552,23.8056270256
553,23.8056030652
554,23.8056247652
555,23.805652479
556,23.8056423109
557,23.8056477779
558,23.8056476755
559,23.8056285458
560,23.8056442325
561,23.8056380789
562,23.8056470074
563,23.8056397941
564,23.8056398639
565,23.8056545967
566,23.8056095616
567,23.8055449858
568,23.8056172157
569,23.8056472976
570,23.8056312176
571,23.8056475209
572,23.8056387095
573,23.805649625
574,23.8056467674
575,23.8056479982
576,23.8056374104
577,23.8056370601
578,23.8056199707
579,23.8056590907
580,23.8056446733
581,23.8056051024
582,23.8056470605
583,23.805637943
584,23.8056446632
585,23.8056387683
586,23.8056070177
587,23.8056344704
588,23.8056486465
589,23.8056430157
590,23.8056101532
591,23.8056211154
592,23.8056638474
593,23.8056424685
594,23.8056452758
595,23.8056332366
596,23.8056495654
597,23.8056338436
598,23.8056443244
599,23.8056355456
600,23.805639557
601,23.805654005
602,23.8056448235
603,23.8056413604
604,23.8056513591
605,23.805630112
606,23.8056389861
607,23.8056410302
608,23.8056346666
609,23.8056363342
610,23.8056404452
611,23.8056407711
612,23.8056453294
613,23.805642096
614,23.8056516139
615,23.8056523596
616,23.8056412864
617,23.8055890764
618,23.8056486707
619,23.8056468863
620,23.8056490959
621,23.8056113308
622,23.8056355571
623,23.8056434838
624,23.805607753
625,23.8056519079
626,23.8056542213
627,23.8056476828
628,23.8056468172
629,23.8056461295
630,23.8056347528
631,23.8056250239
632,23.8056386975
633,23.8056292272
634,23.8056120731
635,23.8056263673
636,23.80564176
637,23.8056466527
638,23.8056494611
639,23.8056308094
640,23.8056408384
641,23.8056352777
642,23.8056568174
643,23.8056489965
644,23.80565791
645,23.8056476362
646,23.8056359253
647,23.805638068
648,23.8056371008
649,23.8056307964
650,23.8056541433
651,23.8056212975
652,23.805617018
653,23.8056488766
654,23.8056435438
655,23.8056322037
656,23.8056392499
657,23.805642768
658,23.8056454093
659,23.8056451627
660,23.8056387995
661,23.8056261205
662,23.8056522466
663,23.8056671555
664,23.8056194896
665,23.8056351359
666,23.8056146322
667,23.8056449732
668,23.8056498097
669,23.8056449808
670,23.8056295038
671,23.8056590876
672,23.8056323053
673,23.8056243172
674,23.8056433866
675,23.8056521889
676,23.8056511788
677,23.8056046783
678,23.8056234984
679,23.8056367519
680,23.8056521114
681,23.805625748
682,23.8056419374
683,23.8056561118
684,23.8056396877
685,23.8056484979
686,23.8056206044
687,23.8056345664
688,23.8056466575
689,23.805641138
690,23.8056072456
691,23.8056162217
692,23.8056282591
693,23.8056548647
694,23.805622168
695,23.8056376344
696,23.8056356461
697,23.8056376555
698,23.805641794
699,23.8056442181
700,23.8056553945
701,23.8056384637
702,23.8056527539
703,23.8056361844
704,23.8056563747
705,23.8056165239
706,23.8056521429
707,23.8056106145
708,23.8056488479
709,23.805636512
710,23.8056332655
711,23.8056469563
712,23.8056303855
713,23.805639747
714,23.8056453663
715,23.8056398577
716,23.8056090373
717,23.8056466209
718,23.8056442835
719,23.8056402559
720,23.8056483111
721,23.8056636032
722,23.8056477389
723,23.8056509778
724,23.8056555352
725,23.8056546749
726,23.8056491384
727,23.8056424525
728,23.8056223753
729,23.8056451612
730,23.8056484948
731,23.8056409415
732,23.8056524529
733,23.805636991
734,23.8056562702
735,23.8055974254
736,23.805662305
737,23.8056550406
738,23.8056211453
739,23.805591702
740,23.8056393579
741,23.8056266958
742,23.8056114697
743,23.8056417265
744,23.805642132
745,23.8056584983
746,23.8056435957
747,23.8056499064
748,23.8056365668
749,23.8056468099
750,23.8056505865
751,23.8056384906
752,23.8056453931
753,23.8056393126
754,23.8056544377
755,23.8056306076
756,23.8056402746
757,23.8056497297
758,23.8056031313
759,23.8056345853
760,23.8056546496
761,23.805647406
762,23.8056417636
763,23.8056468005
764,23.8056506362
765,23.8056678048
766,23.8056285863
767,23.8056249303
768,23.8056347788
769,23.8056243036
770,15.3791041952
771,13.4323173256
772,12.9691798767
773,13.7270481299
774,11.8956033645
775,23.8056544972
776,23.8056342539
777,23.8056497282
778,23.8056451741
779,23.8056545974
780,23.8056417898
781,23.8056337944
782,23.8056422761
783,23.8056477001
784,23.805634212
785,23.8056416675
786,23.8056145739
787,23.8056240514
788,23.8056491354
789,23.8056479139
790,23.8056310249
791,23.8056380908
792,23.8056498528
793,23.8056476818
794,23.8056165986
795,23.8056333141
796,23.805654687
797,23.8055850117
798,23.8056477301
799,23.8056462735
800,23.8056116933
801,23.8056438444
802,23.8056442779
803,23.8056373249
804,23.8056540359
805,23.8056513219
806,23.8056526954
807,23.8056651036
808,23.8056312604
809,23.8056250041
810,23.805631244
811,23.8056302142
812,20.8376926565
813,20.723438297
814,20.7991106948
815,20.7746226149
816,20.6859885588
817,-171.965205247
818,-171.863358997
819,-171.696458759
820,-172.617537332
821,-171.189731804
822,-171.768405326
823,-171.658541405
824,-171.479396535
825,-171.269814968
826,-171.219213426
827,-171.555637032
828,-172.770135497
829,-171.654851622
830,-171.706095613
831,-171.59283076
832,-171.534094899
833,-171.361259409
834,-171.814823146
835,-171.077254712
836,-172.279039448
837,-171.829953423
838,-171.617361718
839,-171.978949618
840,-172.104977921
841,-171.528584253
842,-171.433144247
843,-171.610822335
844,-171.319298445
845,-171.376675266
846,-171.442108802
847,-171.971134348
848,-171.704847559
849,-171.783658779
850,-171.214933964
851,-171.708372588
852,-172.378325051
853,-171.230685785
854,-171.801637097
855,-172.079688218
856,-171.715826087
857,-171.337068564
858,-171.1646332
859,-171.373758608
860,-171.652488727
861,-171.974951726
862,-171.156845012
863,-171.816737405
864,-171.362972128
865,-171.532610273
866,-171.214033428
867,-171.474864839
868,-171.549238531
869,-171.212920918
870,-171.511626323
871,-171.647736678
872,-171.989292179
873,-172.234134132
874,-171.943309309
875,-172.42831088
876,-171.57555439
877,-171.112483022
878,-171.651784443
879,-171.536119013
880,-171.566892305
881,-171.287569683
882,-171.622354787
883,-171.065733828
884,-172.100976317
885,-171.997463571
886,-171.339636844
887,-171.748361949
888,-172.220277996
889,-171.367401307
890,-171.133554878
891,-172.140739578
892,-171.509516433
893,-171.368501756
894,-171.674412147
895,-173.037405907
896,-171.651941553
897,-172.148511808
898,-171.543724257
899,-171.852652114
900,-171.464733524
901,-171.652557688
902,-171.829715553
903,-171.63720041
904,-171.390669659
905,-171.201074901
906,-171.419493214
907,-171.389738493
908,-171.063956132
909,-171.292184981
910,-171.129078738
911,-171.34784391
912,-171.644886293
913,-171.093792222
914,-171.043051463
915,-171.271012695
916,-171.145307522
917,-171.169351983
918,-172.359497855
919,-171.664778577
920,-171.199458839
921,-171.458273405
922,-171.398330005
923,-171.169440147
924,-171.705304019
925,-171.168642729
926,-171.269251187
927,-171.208723828
928,-171.730783281
929,-171.429426129
930,-172.376648055
931,-172.054964986
932,-171.256579779
933,-171.324433941
934,-171.137904273
935,-171.337045355
936,-171.166128323
937,-171.584952665
938,-171.212699762
939,-171.49615422
940,-171.421206515
941,-171.379970054
942,-171.871100589
943,-172.017564683
944,-172.43334026
945,-171.348570389
946,-171.375304078
947,-171.292794726
948,-171.122847273
949,-171.794786464
950,-171.600809238
951,-171.872819066
952,-171.137935453
953,-171.546449939
954,-171.281477697
955,-171.170989427
956,-171.550259203
957,-171.085012313
958,-171.696496228
959,-172.343462389
960,-171.411462692
961,-171.659149275
962,-171.763149725
963,-171.347956015
964,-171.526156007
965,-172.221345579
966,-171.236928065
967,-171.220354354
968,-171.101777661
969,-171.452455491
970,-171.111140508
971,-171.137421917
972,-172.205392992
973,-171.564750677
974,-171.49580891
975,-171.415749675
976,-171.319950595
977,-171.775103926
978,-171.840127454
979,-171.55468594
980,-171.171980116
981,-171.633837634
982,-172.739600437
983,-171.021435427
984,-171.477349748
985,-171.080892191
986,-171.699351955
987,-171.598978314
988,-171.223016282
989,-171.585745449
990,-172.032059276
991,-171.195431839
992,-171.471555889
993,-171.333921408
994,-172.524769151
995,-171.470026307
996,-171.17625927
997,-171.486529155
998,-171.472977687
999,-171.549247054
1000,-171.323129769
