time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.3200000000000007,-0.00875517447531,0.062488838759,11.8477068712,0.0452437791959,6.24777043247,0.0,0.101865001889,0.208788703879,2.78828948155,0.0379986528537,-0.0403697052396,0.0,474.9866429677044,474.6617422745021,475.8625309574232,474.0779960254144
1.3800000000000008,-0.00189396069008,0.0759701680673,12.0182313073,0.0472519103254,6.24595223407,0.0,0.127045680563,0.240798473542,2.89556862869,0.0223779357868,-0.0153784179422,0.0,446.50670706049965,448.5404798581826,447.15235477013,445.87844529242085
1.4400000000000008,0.00659867763148,0.0915230582304,12.1975621014,0.0486204405875,6.24583687841,0.0,0.156073594365,0.277762231319,3.08162506559,0.0236569193577,0.016513904961,0.0,470.4495540874035,472.91254248594674,471.4127427685085,471.51156527887133
1.5000000000000009,0.0166361407675,0.109073440396,12.3828858195,0.0506105479313,6.24693217326,0.0,0.178412909096,0.30740365283,3.09578305334,0.0474649519368,0.0215272425023,0.0,418.7661183685553,419.20195495160846,417.3329783061339,419.4064353938939
1.560000000000001,0.0279655965073,0.128405102874,12.568309356,0.0544074469677,6.24766379997,0.0,0.199134798392,0.33727907039,3.08501175867,0.0838637078525,-0.0229833054059,0.0,412.1072970710469,408.15387001620286,409.0304036236884,412.26223209447323
1.620000000000001,0.0406013129719,0.149704590561,12.7549598906,0.0592774174306,6.24678130416,0.0,0.222153538023,0.373164090996,3.13649221128,0.0751406835276,-0.00187271075172,0.0,429.90829530673136,431.6934109403115,431.71440991031153,430.98326159185535
1.680000000000001,0.0546647197007,0.173303946277,12.9456139927,0.0636466135795,6.24642463531,0.0,0.24663875131,0.413906231303,3.21837772127,0.0677226254227,-0.0156761287421,0.0,442.5569058903692,441.41935163840145,440.7369469243354,440.1275545964535
1.740000000000001,0.0702639350079,0.199533030951,13.1427159282,0.06740080883,6.24578503151,0.0,0.273402395934,0.460789288344,3.35126128312,0.04950406802,-0.00215212980048,0.0,456.5361940693414,457.6141313924101,458.9529809404863,457.5073002029161
1.8000000000000012,0.0874430971302,0.228585707532,13.3468189088,0.0701883380311,6.24596258645,0.0,0.299219123061,0.507903650395,3.45183785114,0.0395436938417,0.0116053825921,0.0,447.67366668348006,448.79170562085585,449.2842435849867,448.47717226227894
1.8600000000000012,0.106023110625,0.260251159084,13.5531524242,0.0724392848852,6.24652890071,0.0,0.320062302019,0.547805564541,3.42600029234,0.0331167999179,0.00470853738633,0.0,408.79696255031797,408.18179358709034,407.6998037819933,407.1259417725112
1.9200000000000013,0.125929449061,0.294514275703,13.7602306036,0.074308651832,6.24658209723,0.0,0.343457157619,0.594464500899,3.4764258489,0.0269149939223,-0.00813182443556,0.0,433.7204982804902,432.6406766648559,433.5311295521955,433.01005594824
1.9800000000000013,0.14720155411,0.331530944301,13.9692650528,0.0760729865465,6.24596952593,0.0,0.36565804879,0.639565966659,3.49131572332,0.0339710445279,-0.0147274219805,0.0,422.0989147726355,421.52941911609065,421.84502452334465,422.4542243809512
2.0400000000000014,0.169846567268,0.371345700357,14.1799680737,0.0784053846563,6.24543801883,0.0,0.389232749847,0.687780798393,3.53195771077,0.0472141096047,0.000855889037164,0.0,429.83304390584243,431.1518188392348,430.1749525878865,431.29574497661156
2.1000000000000014,0.193836794135,0.413940812316,14.3911092107,0.0813039353034,6.24589152536,0.0,0.410418208106,0.732294334827,3.50612602947,0.0504132927795,0.0183991593422,0.0,408.02378630703646,409.58701555357203,408.61029396592716,408.89706338987867
2.1600000000000015,0.219361083753,0.45985857367,14.6080550605,0.0841892288243,6.24679568422,0.0,0.44024031589,0.798586196412,3.72466249017,0.0429791641097,0.00740205858728,0.0,485.1904708633928,484.36399186258916,486.1335368992538,485.57733680974883
2.2200000000000015,0.246513081508,0.509491126127,14.8342215423,0.0871969481339,6.24746292627,0.0,0.46475488264,0.856080875619,3.81387941814,0.0615495441837,0.0176780076631,0.0,447.9315144044682,448.76633224599937,446.8290878885072,448.34204048478017
2.2800000000000016,0.275109600237,0.5626129055,15.0654633274,0.0910965755406,6.24878691913,0.0,0.488328698979,0.91498810436,3.89385386236,0.0711164763586,0.0296486909429,0.0,446.57390416977745,447.54936249855433,444.1376998307048,444.92479488877376
2.3400000000000016,0.305154280923,0.619518992593,15.3033563996,0.0952559907233,6.25065738184,0.0,0.512940543203,0.982281112333,4.03535580407,0.0654745006941,0.034062848046,0.0,465.7087073426694,466.0541537850906,465.225765636402,464.7871719884313
2.4000000000000017,0.336752293446,0.680908311272,15.5534390672,0.0995985618532,6.25283683729,0.0,0.540021614909,1.06444965499,4.29968688588,0.0834734478958,0.0405007424319,0.0,502.29200470906966,502.75912429226184,501.25926025632776,502.5689310385457
2.4600000000000017,0.369560003444,0.746145761336,15.8075141752,0.104300794341,6.2552912397,0.0,0.5534109656,1.11050176103,4.16991828031,0.065471390236,0.0417062990292,0.0,378.45388011865157,378.5711118593088,379.74740019689426,378.02232507414425
2.520000000000002,0.403241955364,0.814611402933,16.0576423069,0.107967466354,6.25731747419,0.0,0.569110003324,1.17200369077,4.16763510287,0.0505365428123,0.00897573388866,0.0,423.1668756475027,420.340104584339,423.7798365319353,422.4968173478702
2.580000000000002,0.438018087641,0.887593099617,16.314661509,0.111383417469,6.25791155204,0.0,0.589998203883,1.26099925335,4.3987128895,0.067361105069,0.0116910087507,0.0,494.1817177236564,494.38170309443296,493.4934959579655,494.73572592082894
2.640000000000002,0.473950293861,0.965638949026,16.5823320487,0.115178300398,6.25819442682,0.0,0.607666355964,1.34086912524,4.52305525599,0.053402568029,-0.0153185236608,0.0,466.1486764503472,464.0330052497492,465.031151086227,463.93903085499795
2.700000000000002,0.511068945631,1.04913181853,16.8624430856,0.118207088054,6.25703729894,0.0,0.629722160672,1.44246884043,4.81267544273,0.0438809125775,-0.0287140322485,0.0,513.7765078370427,512.8258868715504,514.1209187820156,513.4470107383858
2.760000000000002,0.549337607839,1.13786750947,17.1521464237,0.121353230724,6.25479992203,0.0,0.646066007414,1.51561433682,4.84387976104,0.065606654424,-0.0660511223983,0.0,441.9398894977466,438.8501324950683,438.09546260868865,439.90020157658734
2.820000000000002,0.588604998454,1.2309180931,17.4426354013,0.124903840479,6.25100110857,0.0,0.663183955334,1.58637408847,4.83899630075,0.0414685670067,-0.0583367934616,0.0,427.1784062351603,427.83271659489384,430.4787531290988,428.43349168320236
2.880000000000002,0.628943295585,1.32818382538,17.7321607727,0.127370546386,6.24739003249,0.0,0.681725509645,1.65600558861,4.81187509462,0.0403886412581,-0.0641611769368,0.0,421.00208103523613,420.4949492430405,421.8376393929825,421.7453494927991
